10-08 10:43:25 ,1163194238 ,-1044 ,3926 ,-739
10-08 10:43:25 ,1163194238 ,-1092 ,3940 ,-763
10-08 10:43:25 ,1163194241 ,-1125 ,3951 ,-788
10-08 10:43:25 ,1163194241 ,-1127 ,3947 ,-807
10-08 10:43:25 ,1163194278 ,-1127 ,3937 ,-812
10-08 10:43:25 ,1163194278 ,-1127 ,3929 ,-798
10-08 10:43:25 ,1163194300 ,-1080 ,3927 ,-779
10-08 10:43:25 ,1163194300 ,-1056 ,3927 ,-771
10-08 10:43:25 ,1163194331 ,-1055 ,3927 ,-775
10-08 10:43:25 ,1163194331 ,-1066 ,3927 ,-785
10-08 10:43:25 ,1163194370 ,-1079 ,3927 ,-796
10-08 10:43:25 ,1163194370 ,-1102 ,3929 ,-804
10-08 10:43:25 ,1163194371 ,-1121 ,3933 ,-800
10-08 10:43:25 ,1163194371 ,-1119 ,3941 ,-787
10-08 10:43:25 ,1163194411 ,-1102 ,3949 ,-780
10-08 10:43:25 ,1163194411 ,-1080 ,3960 ,-780
10-08 10:43:25 ,1163194413 ,-1051 ,3976 ,-524
10-08 10:43:25 ,1163194413 ,-1026 ,3991 ,-754
10-08 10:43:25 ,1163194454 ,-1013 ,3991 ,-752
10-08 10:43:25 ,1163194454 ,-1009 ,3972 ,-752
10-08 10:43:25 ,1163194455 ,-1009 ,3952 ,-754
10-08 10:43:25 ,1163194455 ,-1010 ,3939 ,-753
10-08 10:43:25 ,1163194456 ,-1017 ,3931 ,-750
10-08 10:43:25 ,1163194456 ,-1023 ,3927 ,-758
10-08 10:43:25 ,1163194507 ,-1023 ,3919 ,-770
10-08 10:43:25 ,1163194507 ,-1022 ,3911 ,-780
10-08 10:43:25 ,1163194508 ,-1024 ,3911 ,-793
10-08 10:43:25 ,1163194508 ,-1028 ,3912 ,-806
10-08 10:43:26 ,1163194545 ,-1031 ,3907 ,-820
10-08 10:43:26 ,1163194545 ,-1027 ,3895 ,-835
10-08 10:43:26 ,1163194546 ,-1023 ,3891 ,-845
