10-08 10:36:01 ,1162750360 ,-1635 ,3695 ,-1223
10-08 10:36:01 ,1162750360 ,-1659 ,3680 ,-1253
10-08 10:36:01 ,1162750381 ,-1688 ,3661 ,-1287
10-08 10:36:01 ,1162750381 ,-1720 ,3639 ,-1308
10-08 10:36:01 ,1162750413 ,-1749 ,3633 ,-1302
10-08 10:36:01 ,1162750413 ,-1769 ,3637 ,-1289
10-08 10:36:01 ,1162750437 ,-1782 ,3642 ,-1279
10-08 10:36:01 ,1162750437 ,-1792 ,3651 ,-1274
10-08 10:36:01 ,1162750472 ,-1797 ,3653 ,-1266
10-08 10:36:01 ,1162750472 ,-1790 ,3644 ,-1256
10-08 10:36:01 ,1162750473 ,-1777 ,3633 ,-1239
10-08 10:36:01 ,1162750473 ,-1771 ,3625 ,-1226
10-08 10:36:01 ,1162750475 ,-1771 ,3619 ,-1228
10-08 10:36:01 ,1162750475 ,-1771 ,3611 ,-1226
10-08 10:36:01 ,1162750527 ,-1764 ,3605 ,-1213
10-08 10:36:01 ,1162750527 ,-1751 ,3594 ,-1203
10-08 10:36:01 ,1162750528 ,-1736 ,3575 ,-1206
10-08 10:36:01 ,1162750528 ,-1732 ,3575 ,-1222
10-08 10:36:02 ,1162750566 ,-1739 ,3577 ,-1250
10-08 10:36:02 ,1162750566 ,-1736 ,3569 ,-1268
10-08 10:36:02 ,1162750567 ,-1729 ,3567 ,-1271
10-08 10:36:02 ,1162750567 ,-1713 ,3578 ,-1256
10-08 10:36:02 ,1162750568 ,-1702 ,3594 ,-1231
10-08 10:36:02 ,1162750568 ,-1712 ,3613 ,-1219
10-08 10:36:02 ,1162750606 ,-1728 ,3640 ,-1220
10-08 10:36:02 ,1162750606 ,-1735 ,3668 ,-1211
10-08 10:36:02 ,1162750607 ,-1734 ,3694 ,-1191
10-08 10:36:02 ,1162750607 ,-1716 ,3691 ,-1180
10-08 10:36:02 ,1162750653 ,-1687 ,3661 ,-1175
10-08 10:36:02 ,1162750653 ,-1681 ,3646 ,-1171
10-08 10:36:02 ,1162750691 ,-1690 ,3643 ,-1157
10-08 10:36:02 ,1162750691 ,-1693 ,3644 ,-1137
10-08 10:36:02 ,1162750692 ,-1693 ,3643 ,-1125
10-08 10:36:02 ,1162750692 ,-1693 ,3638 ,-1127
10-08 10:36:02 ,1162750729 ,-1702 ,3635 ,-1145
10-08 10:36:02 ,1162750729 ,-1699 ,3635 ,-1169
10-08 10:36:02 ,1162750730 ,-1700 ,3634 ,-1195
10-08 10:36:02 ,1162750730 ,-1715 ,3636 ,-1222
10-08 10:36:02 ,1162750766 ,-1736 ,3636 ,-1243
10-08 10:36:02 ,1162750766 ,-1751 ,3625 ,-1257
10-08 10:36:02 ,1162750767 ,-1743 ,3625 ,-1259
